Variable,Guth Classification,Type
id,4,
HRMONTH,4,
HRYEAR4,4,
HURESPLI,3,
HUFINAL,2,
HUSPNISH,1,
HETENURE,1,
HEHOUSUT,2,
HETELHHD,3,
HETELAVL,3,
HEPHONEO,3,
HUFAMINC,1,Number
HUTYPEA,4,
HUTYPB,4,
HUTYPC,4,
HWHHWGT,4,
HRINTSTA,3,
HRNUMHOU,2,Number
HRHTYPE,1,
HRMIS,3,
HUINTTYP,2,
HUPRSCNT,4,
HRLONGLK,3,
HRHHID2,4,
HUBUS,1,
HUBUSL1,4,
HUBUSL2,4,
HUBUSL3,4,
HUBUSL4,4,
GEREG,1,
GESTCEN,4,
GESTFIPS,1,
GTCBSA,1,
GTCO,1,
GTCBSAST,1,
GTMETSTA,1,
GTINDVPC,3,
GTCBSASZ,1,
GTCSA,2,
PERRP,3,
PEPARENT,3,
PEAGE,1,Number
PRTFAGE,3,
PEMARITL,1,
PESPOUSE,4,
PESEX,2,
PEAFEVER,1,
PEAFNOW,1,
PEEDUCA,1,Number
PTDTRACE,1,
PRDTHSP,1,
PUCHINHH,3,
PULINENO,4,
PRFAMNUM,4,
PRFAMREL,3,
PRFAMTYP,3,
PEHSPNON,2,
PRMARSTA,2,
PRPERTYP,3,
PENATVTY,2,
PEMNTVTY,2,
PEFNTVTY,2,
PRCITSHP,1,
PRCITFLG,4,
PRINUSYR,2,Number
PUSLFPRX,3,
PEMLR,1,
PUWK,1,
PUBUS1,3,
PUBUS2OT,4,
PUBUSCK1,4,
PUBUSCK2,4,
PUBUSCK3,4,
PUBUSCK4,4,
PURETOT,2,
PUDIS,2,
PERET1,3,
PUDIS1,4,
PUDIS2,4,
PUABSOT,2,
PULAY,3,
PEABSRSN,3,
PEABSPDO,4,
PEMJOT,3,
PEMJNUM,4,
PEHRUSL1,3,
PEHRUSL2,4,
PEHRFTPT,4,
PEHRUSLT,4,
PEHRWANT,4,
PEHRRSN1,3,
PEHRRSN2,4,
PEHRRSN3,4,
PUHROFF1,3,
PUHROFF2,4,
PUHROT1,3,
PUHROT2,4,
PEHRACT1,3,
PEHRACT2,4,
PEHRACTT,4,
PEHRAVL,4,
PUHRCK1,4,
PUHRCK2,4,
PUHRCK3,4,
PUHRCK4,4,
PUHRCK5,4,
PUHRCK6,4,
PUHRCK7,4,
PUHRCK12,4,
PULAYDT,4,
PULAY6M,4,
PELAYAVL,4,
PULAYAVR,4,
PELAYLK,4,
PELAYDUR,4,
PELAYFTO,4,
PULAYCK1,4,
PULAYCK2,4,
PULAYCK3,4,
PULK,4,
PELKM1,4,
PULKM2,4,
PULKM3,4,
PULKM4,4,
PULKM5,4,
PULKM6,4,
PULKDK1,4,
PULKDK2,4,
PULKDK3,4,
PULKDK4,4,
PULKDK5,4,
PULKDK6,4,
PULKPS1,4,
PULKPS2,4,
PULKPS3,4,
PULKPS4,4,
PULKPS5,4,
PULKPS6,4,
PELKAVL,4,
PULKAVR,4,
PELKLL1O,4,
PELKLL2O,4,
PELKLWO,4,
PELKDUR,4,
PELKFTO,4,
PEDWWNTO,4,
PEDWRSN,4,
PEDWLKO,4,
PEDWWK,4,
PEDW4WK,4,
PEDWLKWK,4,
PEDWAVL,4,
PEDWAVR,4,
PUDWCK1,4,
PUDWCK2,4,
PUDWCK3,4,
PUDWCK4,4,
PUDWCK5,4,
PEJHWKO,4,
PUJHDP1O,4,
PEJHRSN,4,
PEJHWANT,4,
PUJHCK1,4,
PUJHCK2,4,
PRABSREA,4,
PRCIVLF,3,
PRDISC,4,
PREMPHRS,3,
PREMPNOT,2,
PREXPLF,3,
PRFTLF,4,
PRHRUSL,3,
PRJOBSEA,4,
PRPTHRS,4,
PRPTREA,4,
PRUNEDUR,4,
PRUNTYPE,4,
PRWKSCH,4,
